Frame Rate:,30.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.033,1.0964814814814814,1.36679012345679,0.721820987654321,1.2008333333333334
2,00:00:00.067,0.9657921810699589,1.3356481481481481,0.5491975308641975,1.0125308641975308
3,00:00:00.100,1.0541666666666667,1.3443827160493826,0.7363888888888889,1.0817283950617285
4,00:00:00.133,0.8353806584362139,1.0904938271604938,0.5229012345679013,0.8927469135802469
5,00:00:00.167,0.912253086419753,1.1702777777777778,0.6217283950617284,0.9447530864197531
6,00:00:00.200,0.8652366255144033,1.0699074074074073,0.5558024691358024,0.97
7,00:00:00.233,0.7477263374485598,0.9169444444444445,0.5282716049382716,0.797962962962963
8,00:00:00.267,1.1247942386831276,1.4593518518518518,0.7978703703703703,1.1171604938271604
9,00:00:00.300,0.7686008230452673,0.9111111111111111,0.5760185185185185,0.8186728395061729
10,00:00:00.333,0.8256172839506174,0.9897222222222222,0.6840740740740741,0.8030555555555555
11,00:00:00.367,0.7929115226337449,1.042314814814815,0.5384567901234568,0.797962962962963
12,00:00:00.400,0.7534567901234568,0.9791358024691358,0.5237962962962963,0.7574382716049383
13,00:00:00.433,0.6665020576131687,0.7945679012345679,0.5210493827160494,0.6838888888888889
14,00:00:00.467,0.7371399176954733,0.9488888888888889,0.4689814814814815,0.7935493827160494
15,00:00:00.500,0.6377160493827161,0.7421913580246914,0.4685185185185185,0.7024382716049383
16,00:00:00.533,0.6854012345679013,0.840895061728395,0.5292592592592592,0.6860493827160494
17,00:00:00.567,0.761440329218107,0.9219135802469136,0.5663888888888889,0.7960185185185186
18,00:00:00.600,1.0049588477366256,1.247962962962963,0.7642592592592593,1.0026543209876544
19,00:00:00.633,0.8241872427983538,1.0101543209876542,0.6522530864197531,0.8101543209876543
20,00:00:00.667,0.9263786008230452,1.1549074074074075,0.7188580246913581,0.9053703703703704
21,00:00:00.700,1.1200925925925926,1.3876851851851852,0.8639814814814815,1.1086111111111112
22,00:00:00.733,0.9411316872427985,1.1514506172839507,0.8453086419753086,0.8266358024691358
23,00:00:00.767,1.4037962962962964,1.7249382716049382,1.2720987654320988,1.214351851851852
24,00:00:00.800,1.5677572016460903,1.9764814814814815,1.3882716049382715,1.3385185185185184
25,00:00:00.833,1.623991769547325,2.0219753086419754,1.5040740740740741,1.345925925925926
26,00:00:00.867,1.3899691358024693,1.7187345679012345,1.298641975308642,1.152530864197531
27,00:00:00.900,1.2692283950617282,1.5490123456790124,1.1274074074074074,1.1312654320987654
28,00:00:00.933,1.0012962962962961,1.2999382716049384,0.8444753086419753,0.8594753086419753
29,00:00:00.967,1.050462962962963,1.2984876543209876,0.8205555555555556,1.0323456790123458
30,00:00:01.000,4.515792181069959,6.860555555555556,2.0169444444444444,4.6698765432098766
31,00:00:01.033,0.8185596707818931,1.040432098765432,0.5662962962962963,0.8489506172839506
32,00:00:01.067,0.8175925925925926,1.0920987654320988,0.5635802469135802,0.7970987654320988
33,00:00:01.100,0.9290329218106996,1.1915123456790124,0.6502777777777777,0.9453086419753086
34,00:00:01.133,0.7774897119341565,1.0064197530864198,0.6087345679012346,0.7173148148148148
35,00:00:01.167,0.8362962962962963,1.0118518518518518,0.6862654320987654,0.8107716049382716
36,00:00:01.200,0.824537037037037,1.0506172839506174,0.6038271604938271,0.8191666666666667
37,00:00:01.233,0.06216049382716049,0.04688271604938272,0.07141975308641975,0.06817901234567901
38,00:00:01.267,6.070195473251029,6.932592592592592,6.238179012345679,5.0398148148148145
39,00:00:01.300,0.17355967078189302,0.221358024691358,0.11817901234567901,0.18114197530864198
