Frame Rate:,20.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
126,00:00:06.300,4.71197429906542,4.54375,3.6851343457943924,5.907038551401869
127,00:00:06.350,4.657019080996885,4.473306074766355,3.7553154205607475,5.742435747663551
128,00:00:06.400,4.460913161993769,4.342318925233645,3.588288551401869,5.452132009345794
129,00:00:06.450,4.535455607476636,4.512967289719626,3.5150408878504673,5.578358644859813
130,00:00:06.500,3.9389505451713394,3.8862441588785046,2.9733352803738318,4.957272196261682
131,00:00:06.550,3.6563765576323988,3.589894859813084,2.5697429906542055,4.809491822429907
132,00:00:06.600,6.033897975077882,6.3970794392523365,3.552570093457944,8.152044392523365
133,00:00:06.650,4.971475856697819,4.768545560747664,3.7198306074766356,6.426051401869159
134,00:00:06.700,5.282943925233645,4.997196261682243,4.276460280373832,6.57517523364486
135,00:00:06.750,5.833537772585671,5.785718457943926,4.450905373831776,7.263989485981308
136,00:00:06.800,6.348685747663551,5.935338785046729,6.011244158878505,7.09947429906542
137,00:00:06.850,5.7764310747663545,5.09018691588785,6.0995619158878505,6.139544392523365
138,00:00:06.900,4.968905763239875,4.6678446261682245,5.3283002336448595,4.910572429906542
139,00:00:06.950,3.7691783489096573,3.7656542056074764,3.143049065420561,4.398831775700935
140,00:00:07.000,3.108420950155763,2.941325934579439,2.0419684579439252,4.341968457943925
141,00:00:07.050,2.730052570093458,2.7012558411214953,1.8919684579439253,3.596933411214953
142,00:00:07.100,2.813785046728972,2.731483644859813,1.9176693925233645,3.7922021028037385
143,00:00:07.150,2.699776090342679,2.6184871495327102,1.7448014018691589,3.7360397196261683
144,00:00:07.200,4.7116530373831775,5.160747663551402,2.2623247663551402,6.711886682242991
145,00:00:07.250,2.885484813084112,2.8906834112149533,1.7582067757009345,4.007564252336449
146,00:00:07.300,2.622877725856698,2.5820969626168226,1.6454731308411215,3.6410630841121496
147,00:00:07.350,2.5697235202492212,2.554731308411215,1.596641355140187,3.5577978971962616
148,00:00:07.400,2.695502336448598,2.5668808411214954,1.730928738317757,3.788697429906542
149,00:00:07.450,2.5569996105919004,2.5302278037383177,1.6008177570093458,3.5399532710280375
150,00:00:07.500,2.483265186915888,2.416588785046729,1.517698598130841,3.5155081775700934
151,00:00:07.550,2.590858644859813,2.4863901869158878,1.5960280373831777,3.6901577102803738
152,00:00:07.600,2.659647585669782,2.5783294392523364,1.6501460280373832,3.750467289719626
153,00:00:07.650,2.664291277258567,2.490157710280374,1.7078271028037384,3.7948890186915887
154,00:00:07.700,2.7333138629283487,2.6355432242990653,1.8567172897196262,3.7076810747663553
155,00:00:07.750,2.7114778037383176,2.618136682242991,1.7738025700934579,3.742494158878505
156,00:00:07.800,4.887334501557633,5.7285630841121495,2.382943925233645,6.550496495327103
157,00:00:07.850,4.031892523364486,3.6948306074766357,2.661214953271028,5.739632009345795
158,00:00:07.900,4.060426401869159,3.3946845794392524,3.334667056074766,5.451927570093458
159,00:00:07.950,3.90251168224299,3.222283878504673,3.15035046728972,5.334900700934579
160,00:00:08.000,3.592795950155763,3.0045560747663553,2.8773656542056076,4.896466121495327
161,00:00:08.050,3.1410728193146418,2.802132009345794,2.3907126168224297,4.230373831775701
162,00:00:08.100,3.2337130062305293,2.7384929906542057,2.5757593457943924,4.386886682242991
163,00:00:08.150,3.2828173676012464,2.7759053738317756,2.7272780373831775,4.345268691588785
164,00:00:08.200,3.4664524922118383,2.878855140186916,2.7466705607476634,4.773831775700935
165,00:00:08.250,3.4353679906542056,2.7610981308411215,2.763463785046729,4.781542056074766
166,00:00:08.300,3.334598909657321,3.007827102803738,2.5010221962616823,4.494947429906542
167,00:00:08.350,2.903047118380062,2.7991822429906543,1.8870911214953272,4.0228679906542055
168,00:00:08.400,4.701207165109034,5.4721378504672895,2.225321261682243,6.40616238317757
169,00:00:08.450,3.0014116043613708,2.9808119158878505,1.7102803738317758,4.313142523364486
170,00:00:08.500,3.0218847352024922,2.9580315420560748,1.889661214953271,4.217961448598131
171,00:00:08.550,2.707846573208723,2.7968165887850467,1.5536214953271028,3.773101635514019
172,00:00:08.600,2.4440517912772584,2.595035046728972,1.2760806074766355,3.4610397196261684
173,00:00:08.650,2.002540887850467,2.196466121495327,0.9776869158878505,2.8334696261682244
174,00:00:08.700,2.078796728971963,2.3534170560747665,0.9442464953271028,2.9387266355140187
175,00:00:08.750,2.059384735202492,2.2194801401869158,1.0137266355140186,2.944947429906542
176,00:00:08.800,2.0487830996884733,2.220998831775701,1.079176401869159,2.846174065420561
177,00:00:08.850,2.286945093457944,2.3990070093457945,1.4052278037383177,3.05660046728972
178,00:00:08.900,2.6476927570093456,2.6398656542056074,2.035981308411215,3.267231308411215
179,00:00:08.950,2.676168224299065,2.5320969626168224,2.078913551401869,3.4174941588785046
180,00:00:09.000,4.929108255451713,5.146057242990654,3.157184579439252,6.484082943925234
181,00:00:09.050,3.521154595015577,3.1138142523364487,2.746174065420561,4.70347546728972
182,00:00:09.100,3.191793224299065,2.7650992990654206,2.614193925233645,4.19608644859813
183,00:00:09.150,3.259676791277259,2.9152453271028036,2.583586448598131,4.280198598130841
184,00:00:09.200,3.182145638629283,2.9543224299065423,2.475963785046729,4.116150700934579
185,00:00:09.250,2.9524240654205607,2.695268691588785,2.2527745327102804,3.9092289719626168
186,00:00:09.300,2.8029205607476637,2.610660046728972,2.0575058411214955,3.740595794392523
187,00:00:09.350,2.576723130841122,2.502570093457944,1.7485105140186916,3.479088785046729
188,00:00:09.400,2.479556074766355,2.501285046728972,1.54383761682243,3.3935455607476634
189,00:00:09.450,2.4313570872274144,2.4113317757009347,1.6047605140186916,3.2779789719626167
190,00:00:09.500,2.720278426791277,2.4729848130841123,2.075554906542056,3.6122955607476634
191,00:00:09.550,3.0805295950155767,2.7712908878504674,2.3951518691588785,4.075146028037383
192,00:00:09.600,5.2344820872274145,5.305841121495327,3.343428738317757,7.054176401869159
193,00:00:09.650,3.6840537383177563,3.2223422897196263,2.866822429906542,4.962996495327102
194,00:00:09.700,3.46993769470405,2.9820385514018692,2.8741530373831776,4.553621495327103
195,00:00:09.750,3.5154010903426793,2.893107476635514,2.9106308411214954,4.742464953271028
196,00:00:09.800,3.5349007009345796,2.9170268691588785,2.971933411214953,4.715741822429907
197,00:00:09.850,3.410572429906542,2.774036214953271,2.8849883177570095,4.572692757009346
198,00:00:09.900,3.193973909657321,2.767523364485981,2.482272196261682,4.332126168224299
199,00:00:09.950,3.3080120716510906,2.9319509345794392,2.519772196261682,4.47231308411215
200,00:00:10.000,3.29788746105919,2.838171728971963,2.5930198598130842,4.462470794392523
201,00:00:10.050,3.221349299065421,2.820589953271028,2.604117990654206,4.239339953271028
202,00:00:10.100,3.3611468068535824,3.171553738317757,2.5329731308411216,4.378913551401869
203,00:00:10.150,3.045843068535825,2.5816880841121495,2.266413551401869,4.289427570093458
204,00:00:10.200,5.165654205607477,5.029935747663552,3.2070969626168226,7.259929906542056
205,00:00:10.250,3.6498247663551404,3.0962032710280374,2.782038551401869,5.071232476635514
206,00:00:10.300,3.50281347352025,2.868896028037383,2.7958528037383177,4.843691588785047
207,00:00:10.350,3.4205704828660437,2.84982476635514,2.7701810747663553,4.641705607476635
208,00:00:10.400,3.4935358255451714,2.9832067757009346,2.7442757009345793,4.753125
209,00:00:10.450,3.2280957943925235,2.6863025700934577,2.5319509345794393,4.466033878504673
210,00:00:10.500,3.173792834890966,2.7679614485981308,2.357126168224299,4.396290887850467
211,00:00:10.550,3.033644859813084,2.6671144859813083,2.1495035046728974,4.284316588785047
212,00:00:10.600,3.12508761682243,2.7381717289719627,2.258177570093458,4.378913551401869
213,00:00:10.650,3.375146028037383,2.835484813084112,2.586594626168224,4.703358644859813
214,00:00:10.700,3.601285046728972,2.9618282710280375,2.8770443925233646,4.964982476635514
215,00:00:10.750,3.7966121495327108,3.111127336448598,3.0707359813084114,5.207973130841122
216,00:00:10.800,5.687091121495327,5.232418224299066,3.969363317757009,7.859491822429907
217,00:00:10.850,4.4139894859813085,3.3075934579439252,3.8339369158878505,6.10043808411215
218,00:00:10.900,4.762938084112149,3.3580023364485982,4.3666179906542055,6.564193925233645
219,00:00:10.950,4.955850856697819,3.4090829439252337,4.639485981308411,6.818983644859813
220,00:00:11.000,5.020297897196262,3.3857184579439252,4.794246495327103,6.880928738317757
221,00:00:11.050,5.015527647975078,3.2005257009345796,4.876080607476635,6.969976635514018
222,00:00:11.100,5.077531152647975,3.209608644859813,4.979410046728972,7.04357476635514
223,00:00:11.150,5.131980140186916,3.198072429906542,4.985543224299065,7.21232476635514
224,00:00:11.200,5.077998442367601,3.1652453271028036,4.946582943925233,7.122167056074766
225,00:00:11.250,4.981444704049845,3.0245619158878503,4.843954439252337,7.075817757009346
226,00:00:11.300,5.021816588785047,3.121495327102804,4.750963785046729,7.192990654205608
227,00:00:11.350,4.941832165109034,3.0582943925233645,4.642464953271028,7.12473714953271
228,00:00:11.400,6.7849980529595015,5.40330023364486,5.28446261682243,9.667231308411216
229,00:00:11.450,5.216939252336449,3.168691588785047,4.826518691588785,7.655607476635514
230,00:00:11.500,5.263492990654206,3.275029205607477,5.038785046728972,7.476664719626168
231,00:00:11.550,5.2010221962616825,3.398773364485981,4.96901285046729,7.235280373831776
232,00:00:11.600,4.842260514018691,3.2957067757009346,4.3626168224299064,6.868457943925233
233,00:00:11.650,4.67161214953271,3.380140186915888,3.9419392523364487,6.692757009345795
234,00:00:11.700,4.601499221183801,3.4355432242990656,3.6276869158878506,6.741267523364486
235,00:00:11.750,4.426470015576324,3.305841121495327,3.4412967289719627,6.532272196261682
236,00:00:11.800,4.61082554517134,3.5941588785046727,3.440070093457944,6.798247663551402
237,00:00:11.850,4.498783099688474,3.663084112149533,3.3082359813084112,6.525029205607477
238,00:00:11.900,4.432739485981308,3.600934579439252,3.167873831775701,6.529410046728972
239,00:00:11.950,4.77248831775701,3.8088785046728972,3.5398656542056073,6.968720794392524
240,00:00:12.000,6.60629867601246,6.114310747663551,4.267494158878504,9.437091121495326
241,00:00:12.050,5.134443146417445,3.851577102803738,3.9883469626168226,7.563405373831776
242,00:00:12.100,5.32755062305296,3.777102803738318,4.320268691588785,7.885280373831776
243,00:00:12.150,5.585406931464174,3.9259929906542057,4.726197429906542,8.104030373831776
244,00:00:12.200,6.27702492211838,4.503738317757009,5.516296728971962,8.811039719626168
245,00:00:12.250,6.580403037383178,4.608031542056075,6.016793224299065,9.116384345794392
246,00:00:12.300,6.922721962616823,4.733119158878504,6.3771028037383175,9.657943925233646
247,00:00:12.350,7.170210280373833,4.9995327102803735,6.63419976635514,9.876898364485982
248,00:00:12.400,6.4318341121495335,4.505665887850467,5.889398364485982,8.90043808411215
249,00:00:12.450,5.838619548286605,3.97803738317757,5.30998831775701,8.227832943925234
250,00:00:12.500,5.922955607476635,3.912470794392523,5.363609813084112,8.492786214953272
251,00:00:12.550,5.975827492211838,3.9657418224299064,5.678446261682243,8.283294392523365
